symbol,name,1,2,reference,alias,document,footprint,description,keywords,manufacturer,value
inductor,7445101,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 1 uH, WE-PD3, Type S",inductor,Würth,1 uH
inductor,74451015,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 1.5 uH, WE-PD3, Type S",inductor,Würth,1.5 uH
inductor,74451022,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 2.2 uH, WE-PD3, Type S",inductor,Würth,2.2 uH
inductor,74451033,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 3.3 uH, WE-PD3, Type S",inductor,Würth,3.3 uH
inductor,74451039,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 3.9 uH, WE-PD3, Type S",inductor,Würth,3.9 uH
inductor,74451047,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 4.7 uH, WE-PD3, Type S",inductor,Würth,4.7 uH
inductor,74451068,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 6.8 uH, WE-PD3, Type S",inductor,Würth,6.8 uH
inductor,7445110,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 10 uH, WE-PD3, Type S",inductor,Würth,10 uH
inductor,74451115,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 15 uH, WE-PD3, Type S",inductor,Würth,15 uH
inductor,74451122,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 22 uH, WE-PD3, Type S",inductor,Würth,22 uH
inductor,74451133,1,2,L,,doc/inductor/Würth/WE-PD3-TypeS.pdf,we_pd3_s,"Inductor 33 uH, WE-PD3, Type S",inductor,Würth,33 uH
